job_name,company,company_info,company_size,company_type,city,salary_min,salary_max,exp,education,job_advantage1,job_advantage2,job_advantage3,job_advantage4,job_advantage5,job_advantage6,job_advantage7,job_advantage8,job_advantage9,job_advantage10
工科毕业生首选 金融数据分析师助理 月入8K双休,北京万向卓迹商贸有限公司,合资 ,150-500人 ,金融/投资/证券,北京-朝阳区,0.8,1万/月,无工作经验,大专,['弹性工作', '出国机会', '专业培训', '补充医疗保险', '通讯补贴', '五险一金', '绩效奖金', '员工旅游', '年终奖金', '补充公积金']
福利好，待遇优，应届毕业生首选金融数据分析师月薪8K,北京万向卓迹商贸有限公司,合资 ,150-500人 ,金融/投资/证券,北京-朝阳区,0.8,1万/月,无工作经验,本科,['补充医疗保险', '专业培训', '出国机会', '弹性工作', '五险一金', '绩效奖金', '员工旅游', '年终奖金', '补充公积金', '通讯补贴']
数据分析师-北京-14058,优信集团,民营公司 ,10000人以上 ,"互联网/电子商务,汽车及零配件",北京-朝阳区,1.5,2万/月,3-4年经验,本科,['五险一金', '补充医疗保险', '通讯补贴', '专业培训', '交通补贴', '绩效奖金', '定期体检', '弹性工作'],,
数据分析师（高级）,中国化工信息中心有限公司,国企 ,150-500人 ,"石油/化工/矿产/地质,专业服务(咨询、人力资源、财会)",北京,20,30万/年,3-4年经验,本科,['五险一金', '餐饮补贴', '定期体检'],,,,,,,
数据分析师助理 双休五险 应届生,北京中天方木教育科技有限公司,外企代表处 ,50-150人 ,"金融/投资/证券,教育/培训/院校",北京,0.6,1.2万/月,无工作经验,,['五险一金', '弹性工作', '年终奖金', '绩效奖金', '员工旅游'],,,,,
8k 外汇数据分析师 双休五险,北京中天方木教育科技有限公司,外企代表处 ,50-150人 ,"金融/投资/证券,教育/培训/院校",北京,0.6,1.2万/月,无工作经验,,['五险一金', '弹性工作', '年终奖金', '绩效奖金', '员工旅游'],,,,,
8k-15k金融数据分析师 双休五险,北京中天方木教育科技有限公司,外企代表处 ,50-150人 ,"金融/投资/证券,教育/培训/院校",北京,0.8,1.5万/月,无工作经验,,['五险一金', '弹性工作', '年终奖金', '绩效奖金', '员工旅游'],,,,,
6k-15k数据分析师助理 技术岗非销售,北京中天方木教育科技有限公司,外企代表处 ,50-150人 ,"金融/投资/证券,教育/培训/院校",北京,0.6,1.2万/月,无工作经验,,['五险一金', '弹性工作', '年终奖金', '绩效奖金', '员工旅游'],,,,,
金融数据分析师/助理 可培训双休,北京中天方木教育科技有限公司,外企代表处 ,50-150人 ,"金融/投资/证券,教育/培训/院校",北京,0.6,1.2万/月,无工作经验,,['五险一金', '弹性工作', '年终奖金', '绩效奖金', '员工旅游'],,,,,
高薪诚聘 数据分析师/助理 技术岗无销售,北京中天方木教育科技有限公司,外企代表处 ,50-150人 ,"金融/投资/证券,教育/培训/院校",北京,0.6,1.2万/月,无工作经验,,['五险一金', '弹性工作', '年终奖金', '绩效奖金', '员工旅游'],,,,,
胆子够大，机会才更多  万向诚聘 金融数据分析师/助理,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,0.8,1万/月,无工作经验,大专,['五险一金', '年终奖金', '绩效奖金', '交通补贴', '专业培训', '定期体检', '员工旅游', '节日福利', '年底双薪'],
应届生首选 高薪直招金融数据分析师助理,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,6,8千/月,无工作经验,,['五险一金', '员工旅游', '交通补贴', '专业培训', '餐饮补贴', '绩效奖金', '年终奖金', '弹性工作', '定期体检'],
公司直聘 数据分析师助理，底薪6K起,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,6,8千/月,无工作经验,,['五险一金', '交通补贴', '员工旅游', '专业培训', '年终奖金', '绩效奖金', '出国机会', '定期体检'],,
任性高薪 职等你来 金融数据分析师/助理,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,0.8,1万/月,无工作经验,本科,['五险一金', '员工旅游', '交通补贴', '专业培训', '年终奖金', '绩效奖金', '定期体检', '餐饮补贴', '弹性工作'],
任性高薪 职等你来 外汇数据分析师/资金管理人,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,0.8,1万/月,无工作经验,大专,['五险一金', '员工旅游', '交通补贴', '专业培训', '年终奖金', '绩效奖金', '定期体检', '餐饮补贴', '弹性工作'],
不在奔波找工作/金融数据分析师助理//坐班岗位无销售,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,6,8千/月,无工作经验,大专,['五险一金', '员工旅游', '交通补贴', '专业培训', '餐饮补贴', '绩效奖金', '年终奖金', '弹性工作', '定期体检'],
拼一载春秋 搏一生无悔 金融数据分析师,北京万向卓迹商贸有限公司,合资 ,150-500人 ,"金融/投资/证券,多元化业务集团公司",北京-朝阳区,0.8,1万/月,无工作经验,大专,['五险一金', '交通补贴', '员工旅游', '专业培训', '年终奖金', '绩效奖金', '出国机会', '定期体检'],,
